EQTYPE,FREQBAND,LOWERMOD,BANDWITDH,PTX,PTH,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
19,23,8,56,19,-68.0,,,,,,,,
19,23,9,7,18,-73.0,,,,,,,,
19,23,9,14,18,-70.0,,,,,,,,
19,23,9,28,18,-67.5,,,,,,,,
19,23,9,56,18,-64.5,,,,,,,,
19,25,1,7,22,-91.5,,,,,,,,
19,25,1,14,22,-89.0,,,,,,,,
19,25,1,28,22,-86.0,,,,,,,,
19,25,1,56,22,-83.5,,,,,,,,
19,25,2,7,22,-87.5,,,,,,,,
19,25,2,14,22,-87.0,,,,,,,,
19,25,2,28,22,-84.5,,,,,,,,
19,25,2,56,22,-82.0,,,,,,,,
19,25,3,7,22,-85.0,,,,,,,,
19,25,3,14,22,-83.0,,,,,,,,
19,25,3,28,22,-79.0,,,,,,,,
19,25,3,56,22,-76.5,,,,,,,,
19,25,4,7,20,-82.0,,,,,,,,
19,25,4,14,20,-80.5,,,,,,,,
19,25,4,28,20,-77.5,,,,,,,,
19,25,4,56,20,-75.5,,,,,,,,
19,25,6,7,20,-79.5,,,,,,,,
19,25,6,14,20,-77.0,,,,,,,,
19,25,6,28,20,-74.0,,,,,,,,
19,25,6,56,20,-72.0,,,,,,,,
19,25,7,7,18,-77.0,,,,,,,,
19,25,7,14,18,-75.0,,,,,,,,
19,25,7,28,18,-72.0,,,,,,,,
19,25,7,56,18,-70.5,,,,,,,,
19,25,8,7,18,-75.5,,,,,,,,
19,25,8,14,18,-72.5,,,,,,,,
19,25,8,28,18,-70.0,,,,,,,,
19,25,8,56,18,-67.5,,,,,,,,
19,25,9,7,17,-72.5,,,,,,,,
19,25,9,14,17,-69.5,,,,,,,,
19,25,9,28,17,-67.0,,,,,,,,
19,25,9,56,17,-64.0,,,,,,,,
19,28,1,7,21,-90.0,,,,,,,,
19,28,1,14,21,-87.5,,,,,,,,
19,28,1,28,21,-84.5,,,,,,,,
19,28,1,56,21,-82.0,,,,,,,,
19,28,2,7,21,-86.0,,,,,,,,
19,28,2,14,21,-85.5,,,,,,,,
19,28,2,28,21,-83.0,,,,,,,,
19,28,2,56,21,-80.5,,,,,,,,
19,28,3,7,21,-83.5,,,,,,,,
19,28,3,14,21,-81.5,,,,,,,,
19,28,3,28,21,-77.5,,,,,,,,
19,28,3,56,21,-75.0,,,,,,,,
19,28,4,7,19,-80.5,,,,,,,,
19,28,4,14,19,-79.0,,,,,,,,
19,28,4,28,19,-76.0,,,,,,,,
19,28,4,56,19,-74.0,,,,,,,,
19,28,6,7,19,-78.0,,,,,,,,
19,28,6,14,19,-75.5,,,,,,,,
19,28,6,28,19,-72.5,,,,,,,,
19,28,6,56,19,-70.5,,,,,,,,
19,28,7,7,17,-75.5,,,,,,,,
19,28,7,14,17,-73.5,,,,,,,,
19,28,7,28,17,-70.5,,,,,,,,
19,28,7,56,17,-69.0,,,,,,,,
19,28,8,7,17,-74.0,,,,,,,,
19,28,8,14,17,-71.0,,,,,,,,
19,28,8,28,17,-68.5,,,,,,,,
19,28,8,56,17,-66.0,,,,,,,,
19,28,9,7,16,-71.0,,,,,,,,
19,28,9,14,16,-68.0,,,,,,,,
